product_id,source_kind,filename,url,local_path,already_existed,selected_for_cube_file_list
OPERA_L2_RTC-S1_T014-028627-IW2_20230128T155646Z_20250121T025211Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230128T155646Z_20250121T025211Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230128T155646Z_20250121T025211Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230128T155646Z_20250121T025211Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230116T155646Z_20250119T202412Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230116T155646Z_20250119T202412Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230116T155646Z_20250119T202412Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230116T155646Z_20250119T202412Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230104T155647Z_20250118T134701Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230104T155647Z_20250118T134701Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230104T155647Z_20250118T134701Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230104T155647Z_20250118T134701Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221223T155647Z_20250302T014501Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221223T155647Z_20250302T014501Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221223T155647Z_20250302T014501Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221223T155647Z_20250302T014501Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221211T155648Z_20250301T161323Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221211T155648Z_20250301T161323Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221211T155648Z_20250301T161323Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221211T155648Z_20250301T161323Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221129T155649Z_20250228T164707Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221129T155649Z_20250228T164707Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221129T155649Z_20250228T164707Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221129T155649Z_20250228T164707Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221117T155649Z_20250223T055405Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221117T155649Z_20250223T055405Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221117T155649Z_20250223T055405Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221117T155649Z_20250223T055405Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221105T155649Z_20250222T083828Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221105T155649Z_20250222T083828Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221105T155649Z_20250222T083828Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221105T155649Z_20250222T083828Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221024T155650Z_20250221T115040Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221024T155650Z_20250221T115040Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221024T155650Z_20250221T115040Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221024T155650Z_20250221T115040Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20221012T155649Z_20250220T163514Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20221012T155649Z_20250220T163514Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20221012T155649Z_20250220T163514Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20221012T155649Z_20250220T163514Z_S1A_30_v1.0_VH.tif,False,True
